Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-January-2022,370.70,396.00,364.00,367.50,373.943660764052651888,23323,2225,8721488.00,14132,60.59,32.00,-3.20
27-January-2022,368.00,370.50,359.75,366.00,365.445903458479748474,5407,215,1975966.00,3600,66.58,10.75,-2.00
25-January-2022,335.50,379.95,335.50,369.50,367.255345911949685534,9540,737,3503616.00,5745,60.22,44.45,34.00
24-January-2022,356.00,360.00,337.00,345.75,348.134436547505392312,28281,1071,9845590.00,14498,51.26,23.00,-10.25
21-January-2022,364.60,365.90,346.10,352.05,354.094005956813104988,10744,837,3804386.00,7842,72.99,19.80,-12.55
20-January-2022,366.95,371.85,364.50,366.95,367.180170940170940170,2925,493,1074002.00,2090,71.45,7.35,0.00
19-January-2022,373.45,373.45,362.70,366.95,366.426043878273177636,4239,249,1553280.00,2912,68.70,10.75,-6.50
18-January-2022,377.00,385.65,371.00,372.10,375.152083709182753021,5543,716,2079468.00,3787,68.32,14.65,-4.90
17-January-2022,388.95,388.95,379.00,383.10,383.752836446151160761,5729,349,2198520.00,4217,73.61,9.95,-5.85
14-January-2022,387.30,387.95,374.55,379.60,380.950914014895057549,5908,586,2250658.00,3107,52.59,13.40,-7.70
13-January-2022,387.95,389.75,380.00,388.00,385.827201980898478952,5654,415,2181467.00,4133,73.10,9.75,0.05
12-January-2022,368.85,386.00,364.20,383.15,376.508622305529522024,10670,1006,4017347.00,5823,54.57,21.80,14.30
11-January-2022,363.50,365.25,355.00,363.00,358.853057982525814138,2518,381,903592.00,794,31.53,10.25,-0.50
10-January-2022,362.25,369.05,361.15,362.35,364.120719674985490423,3446,516,1254760.00,1825,52.96,7.90,0.10
7-January-2022,366.15,368.90,358.45,361.50,364.169793621013133208,5330,593,1941025.00,3285,61.63,10.45,-4.65
6-January-2022,372.25,372.25,361.85,365.70,366.010431758910460736,10353,587,3789306.00,4376,42.27,10.40,-6.55
5-January-2022,362.75,366.90,353.80,361.85,362.687211981566820276,17360,1049,6296250.00,7124,41.04,13.10,-0.90
4-January-2022,358.00,365.95,358.00,360.10,360.962620703976741771,9631,527,3476431.00,6627,68.81,7.95,2.10
3-January-2022,359.00,359.00,352.60,357.75,355.543677702433187076,5014,727,1782696.00,2127,42.42,6.40,-1.25
31-December-2021,342.00,358.85,342.00,353.35,354.828077091546211125,4566,341,1620145.00,3260,71.40,16.85,11.35
30-December-2021,343.00,354.15,342.00,347.25,348.858325474169548360,9543,687,3329155.00,5889,61.71,12.15,4.25
29-December-2021,351.85,353.00,344.85,346.70,347.769152714358193810,3942,409,1370906.00,2839,72.02,8.15,-5.15
28-December-2021,348.00,357.30,344.50,347.60,349.720750745483248552,5701,210,1993758.00,3291,57.73,12.80,-0.40
27-December-2021,342.45,350.00,340.00,345.90,344.887166030534351145,4192,299,1445767.00,2468,58.87,10.00,3.45
24-December-2021,346.85,350.50,340.90,346.00,345.950044869877355668,3343,175,1156511.00,1752,52.41,9.60,-0.85
23-December-2021,356.00,356.00,344.05,346.05,348.045946659625033007,3787,202,1318050.00,2238,59.10,11.95,-9.95
22-December-2021,349.00,350.85,335.90,340.25,344.740711727842435094,8936,626,3080603.00,4936,55.24,14.95,-8.75
21-December-2021,349.80,349.80,335.65,340.75,340.750942103460089071,2919,277,994652.00,1679,57.52,14.15,-9.05
20-December-2021,340.00,349.70,317.40,339.00,327.390506838294448913,6215,577,2034732.00,2372,38.17,32.30,-1.00
17-December-2021,354.75,354.75,333.95,340.00,340.026864955624850083,20845,1054,7087860.00,11288,54.15,20.80,-14.75
16-December-2021,352.10,359.30,345.55,349.35,351.062743618760216270,7953,581,2792002.00,3520,44.26,13.75,-2.75
15-December-2021,362.00,364.85,351.05,355.50,357.296165990076680198,11085,713,3960628.00,6641,59.91,13.80,-6.50
14-December-2021,368.90,377.00,342.00,361.00,355.876425309849967384,38325,3396,13638964.00,23716,61.88,35.00,-7.90
