Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-January-2022,22.80,25.10,22.80,25.10,24.631128366361108911,467233,1517,11508476.00,305150,65.31,2.30,2.30
27-January-2022,23.80,24.60,23.80,23.95,23.915531792035889577,900540,2929,21536893.00,410840,45.62,0.80,0.15
25-January-2022,25.05,25.95,25.05,25.05,25.166083543154482454,548483,2313,13803169.00,378763,69.06,0.90,0.00
24-January-2022,26.50,27.40,26.35,26.35,26.479201960003509648,296326,1617,7846476.00,198594,67.02,1.05,-0.15
21-January-2022,28.85,29.35,27.70,27.70,28.273134705124968798,709097,3719,20048395.00,355161,50.09,1.65,-1.15
20-January-2022,27.15,29.30,27.15,29.15,28.567684271314573708,761920,3824,21766290.00,477258,62.64,2.15,2.00
19-January-2022,29.40,29.90,27.90,27.95,28.155648734138507191,817546,4304,23018538.00,463343,56.67,2.00,-1.45
18-January-2022,31.35,31.35,29.00,29.35,30.639403391075543108,2439521,7884,74745468.00,1208811,49.55,2.35,-2.00
17-January-2022,29.30,29.90,29.05,29.90,29.746329161740736336,571804,1995,17009070.00,433380,75.79,0.85,0.60
14-January-2022,26.00,28.50,26.00,28.50,27.564417775526505484,1129238,3915,31126788.00,793608,70.28,2.50,2.50
13-January-2022,29.95,29.95,27.15,27.15,28.777102511925345134,3876827,8928,111563848.00,2169201,55.95,2.80,-2.80
12-January-2022,28.50,28.55,28.50,28.55,28.544631990290844300,580895,1280,16581434.00,552574,95.12,0.05,0.05
11-January-2022,27.20,27.20,26.05,27.20,27.061188904644541229,1421712,2933,38473217.00,955100,67.18,1.15,0.00
10-January-2022,25.95,25.95,25.80,25.95,25.948299231040691231,444887,1111,11544061.00,426422,95.85,0.15,0.00
7-January-2022,24.75,24.75,23.75,24.75,24.659844333442067875,1097474,2647,27063538.00,804544,73.31,1.00,0.00
6-January-2022,22.00,23.60,22.00,23.60,23.346254659475525760,489862,1444,11436443.00,465208,94.97,1.60,1.60
5-January-2022,23.65,24.05,22.35,22.50,22.936827480397851524,724793,3920,16624452.00,527285,72.75,1.70,-1.15
4-January-2022,24.90,24.90,22.95,23.50,24.122675660343052985,1281493,4030,30913040.00,802196,62.60,1.95,-1.40
3-January-2022,23.75,23.75,23.75,23.75,23.749997939724582382,121343,440,2881896.00,121343,100.00,0.00,0.00
31-December-2021,22.65,22.65,22.25,22.65,22.640961543417539087,504439,680,11420984.00,310465,61.55,0.40,0.00
30-December-2021,21.20,21.60,20.60,21.60,21.364853088339013843,541618,1472,11571589.00,410919,75.87,1.00,0.40
29-December-2021,20.45,20.60,19.35,20.60,20.391357266844720089,1796839,3777,36639986.00,853405,47.49,1.25,0.15
28-December-2021,19.10,19.65,19.10,19.65,19.618834430373166817,461697,649,9057957.00,353489,76.56,0.55,0.55
27-December-2021,18.15,18.75,17.65,18.75,18.449841732705804141,264742,1000,4884448.00,227566,85.96,1.10,0.60
24-December-2021,18.60,18.60,17.75,17.90,18.064297274882815211,273713,1710,4944433.00,152418,55.69,0.85,-0.70
23-December-2021,18.45,18.90,18.05,18.20,18.337199860805011019,224146,1481,4110210.00,129142,57.62,0.85,-0.25
22-December-2021,18.80,19.00,17.80,18.20,18.476778542970069819,440993,2076,8148130.00,219252,49.72,1.20,-0.60
21-December-2021,17.20,18.55,17.20,18.45,18.416050936294996421,866180,1752,15951615.00,470839,54.36,1.35,1.25
20-December-2021,17.95,18.05,17.70,17.70,17.726262639207494457,234093,1187,4149594.00,159439,68.11,0.35,-0.25
17-December-2021,19.30,20.00,18.45,18.60,18.906712774232243432,533535,2805,10087393.00,287566,53.90,1.55,-0.70
