Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-January-2022,526.00,565.80,526.00,553.10,557.754054758800521512,38350,2457,21389868.00,19319,50.38,39.80,27.10
27-January-2022,522.65,528.65,516.30,521.70,521.999677211103938024,3098,453,1617155.00,1163,37.54,12.35,-0.95
25-January-2022,509.10,538.00,494.95,527.50,520.673997800659802059,10003,1042,5208302.00,5595,55.93,43.05,18.40
24-January-2022,532.65,538.60,507.00,510.55,513.974602080101131988,17403,1050,8944700.00,10019,57.57,31.60,-22.10
21-January-2022,550.10,551.25,510.20,531.85,530.444294395678595543,11848,1101,6284704.00,5054,42.66,41.05,-18.25
20-January-2022,532.00,558.55,532.00,550.90,546.814763092269326683,10025,1178,5481818.00,4367,43.56,26.55,18.90
19-January-2022,530.10,538.40,526.90,530.60,530.841991984562861807,13474,1061,7152565.00,4581,34.00,11.50,0.50
18-January-2022,556.00,560.65,520.00,529.65,541.633026005705544300,24187,2009,13100478.00,13894,57.44,40.65,-26.35
17-January-2022,570.00,570.10,553.20,556.00,562.653533190578158458,4670,577,2627592.00,2702,57.86,16.90,-14.00
14-January-2022,570.00,572.30,556.05,566.90,563.065227666614148416,6347,760,3573775.00,2501,39.40,16.25,-3.10
13-January-2022,593.00,593.00,563.40,566.45,568.907529843893480257,10890,1073,6195403.00,6525,59.92,29.60,-26.55
12-January-2022,552.90,593.55,549.15,569.05,568.502384148881996203,21601,2309,12280220.00,9732,45.05,44.40,16.15
11-January-2022,554.90,558.35,543.65,547.15,548.296097238299983462,12094,940,6631093.00,3649,30.17,14.70,-7.75
10-January-2022,569.00,569.25,548.20,557.90,557.994970943227536879,8948,1064,4992939.00,2724,30.44,21.05,-11.10
7-January-2022,574.00,578.65,556.95,563.10,567.535888049673323757,43162,3128,24495984.00,26893,62.31,21.70,-10.90
6-January-2022,530.00,570.00,472.00,566.60,555.395239164608129350,35624,2299,19785400.00,12618,35.42,98.00,36.60
5-January-2022,551.75,553.00,528.55,532.65,535.300960252826060532,8227,956,4403921.00,3651,44.38,24.45,-19.10
4-January-2022,521.00,549.90,521.00,542.25,539.512604093154551870,35425,2812,19112234.00,15308,43.21,28.90,21.25
