Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-January-2022,4129.70,4358.75,4110.00,4286.50,4276.500108024024543058,23143,6190,98971042.00,9504,41.07,248.75,156.80
27-January-2022,4145.00,4159.90,3991.45,4069.60,4077.365000545672814580,36652,9726,149443582.00,10117,27.60,168.45,-75.40
25-January-2022,4045.80,4198.75,3805.85,4146.25,4061.183182263596276335,32656,11075,132621998.00,15856,48.55,392.90,100.45
24-January-2022,4305.00,4305.00,4041.05,4065.80,4140.134248224389069459,41535,10178,171960476.00,15722,37.85,263.95,-239.20
21-January-2022,4258.00,4500.00,4247.00,4302.65,4357.824417970879078097,25686,6235,111935078.00,4105,15.98,253.00,44.65
20-January-2022,4270.00,4372.20,4184.65,4238.50,4280.855384942728465548,28199,7509,120715841.00,9386,33.28,187.55,-31.50
19-January-2022,4333.60,4333.60,4190.45,4268.20,4269.760794553762939475,10723,2956,45784645.00,4880,45.51,143.15,-65.40
18-January-2022,4350.00,4459.95,4312.00,4333.55,4387.879196688640196228,13046,3940,57244272.00,5031,38.56,147.95,-16.45
17-January-2022,4390.00,4428.10,4325.20,4380.95,4382.463909300860802015,23815,5342,104368378.00,9202,38.64,102.90,-9.05
14-January-2022,4557.20,4557.20,4427.00,4445.85,4453.068459191456903127,5244,1367,23351891.00,1853,35.34,130.20,-111.35
13-January-2022,4549.65,4549.65,4425.55,4516.15,4482.079241545210131597,7067,2008,31674854.00,2315,32.76,124.10,-33.50
12-January-2022,4525.00,4532.55,4474.85,4485.05,4493.535256410256410256,3744,1280,16823796.00,1700,45.41,57.70,-39.95
11-January-2022,4451.00,4539.20,4451.00,4491.45,4498.834528894978641089,12407,2758,55817040.00,5027,40.52,88.20,40.45
10-January-2022,4540.00,4597.50,4457.25,4496.55,4505.373527066536723664,11287,2172,50852151.00,5676,50.29,140.25,-43.45
7-January-2022,4560.00,4581.55,4512.10,4541.00,4545.543527803099361896,8776,1693,39891690.00,3195,36.41,69.45,-19.00
6-January-2022,4591.00,4605.10,4512.00,4533.55,4545.907999386516509278,45641,5729,207479787.00,25520,55.91,93.10,-57.45
5-January-2022,4846.95,4846.95,4670.00,4680.40,4722.366449064677162762,18229,4871,86084018.00,8188,44.92,176.95,-166.55
4-January-2022,4895.00,4905.05,4816.00,4838.35,4847.142475908080059303,6745,1441,32693976.00,3097,45.92,89.05,-56.65
3-January-2022,4915.00,4986.85,4803.60,4868.85,4900.052342394447657605,13832,3456,67777524.00,4002,28.93,183.25,-46.15
31-December-2021,4851.00,4919.80,4801.75,4902.20,4857.335693679517440335,22878,5061,111126126.00,7958,34.78,118.05,51.20
30-December-2021,4664.15,4852.85,4634.15,4813.95,4784.142952693664112854,16446,3087,78680015.00,4760,28.94,218.70,149.80
29-December-2021,4676.50,4678.90,4616.05,4648.05,4647.512232809683234612,3883,1091,18046290.00,1163,29.95,62.85,-28.45
28-December-2021,4620.00,4671.90,4615.05,4640.55,4646.405880736466062104,3639,1239,16908271.00,1932,53.09,56.85,20.55
27-December-2021,4680.00,4680.00,4533.65,4620.05,4596.044365680762649718,8182,2237,37604835.00,2363,28.88,146.35,-59.95
24-December-2021,4720.00,4788.75,4604.15,4621.95,4685.640735068912710566,9795,1958,45895851.00,1956,19.97,184.60,-98.05
23-December-2021,4578.00,4678.70,4521.00,4606.95,4575.421262790117294734,12021,2156,55001139.00,6659,55.39,157.70,28.95
22-December-2021,4485.80,4575.00,4434.90,4536.95,4523.253855950191028725,7067,1315,31965835.00,1913,27.07,140.10,51.15
21-December-2021,4500.00,4546.55,4384.40,4429.00,4437.573937892931987045,26245,4023,116464128.00,6601,25.15,162.15,-71.00
20-December-2021,4660.00,4660.00,4353.55,4427.80,4461.549845440494590417,20704,3151,92371928.00,9254,44.70,306.45,-232.20
17-December-2021,4535.00,4753.00,4535.00,4636.45,4670.804776197311757797,45978,9147,214754262.00,18999,41.32,218.00,101.45
16-December-2021,4449.00,4558.45,4416.00,4509.15,4491.980716104219706408,18461,3568,82926456.00,6315,34.21,142.45,60.15
15-December-2021,4405.00,4446.35,4339.85,4389.05,4395.284386264465945740,10542,1137,46335088.00,3318,31.47,106.50,-15.95
14-December-2021,4417.70,4455.85,4320.05,4404.55,4398.551197627849661121,51936,3639,228443155.00,7223,13.91,135.80,-13.15
13-December-2021,4389.95,4550.00,4366.85,4417.70,4459.700902693865946406,14069,2730,62743532.00,4586,32.60,183.15,27.75
10-December-2021,4337.95,4353.55,4291.65,4337.35,4326.397478591817316841,4204,889,18188175.00,1714,40.77,61.90,-0.60
9-December-2021,4350.00,4350.05,4281.35,4337.95,4319.495710200190657769,6294,1509,27186906.00,3161,50.22,68.70,-12.05
8-December-2021,4260.00,4376.90,4236.25,4287.15,4310.931940914866581956,12592,2919,54283255.00,4199,33.35,140.65,27.15
7-December-2021,4250.00,4291.60,4133.50,4177.05,4164.728808535862477771,20244,1723,84310770.00,14634,72.29,158.10,-72.95
6-December-2021,4300.55,4337.65,4218.60,4236.50,4269.914369978643343842,9833,2443,41986068.00,4403,44.78,119.05,-64.05
3-December-2021,4401.00,4433.90,4315.10,4339.25,4378.340749771411155135,9843,1869,43096008.00,2546,25.87,118.80,-61.75
