Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-January-2022,842.45,847.80,836.80,841.10,841.874784606547960941,1741,247,1465704.00,1096,62.95,11.00,-1.35
27-January-2022,842.00,847.90,830.00,835.45,840.892332051572042524,4421,689,3717585.00,3225,72.95,17.90,-6.55
25-January-2022,880.00,880.00,836.80,848.15,853.851418280054029716,2221,456,1896404.00,1224,55.11,43.20,-31.85
24-January-2022,865.00,880.85,840.00,844.75,850.131057531630460730,4189,730,3561199.00,2884,68.85,40.85,-20.25
21-January-2022,890.00,890.00,865.05,869.85,871.087341772151898734,1580,257,1376318.00,1177,74.49,24.95,-20.15
20-January-2022,875.05,887.95,873.20,875.05,877.574844995571302037,3387,464,2972346.00,2021,59.67,14.75,0.00
19-January-2022,887.65,893.00,879.70,885.90,884.606153846153846153,1625,303,1437485.00,512,31.51,13.30,-1.75
18-January-2022,923.90,923.90,885.25,888.85,896.363228699551569506,2899,477,2598557.00,1283,44.26,38.65,-35.05
17-January-2022,899.95,910.00,894.00,896.65,901.198246364414029084,4676,516,4214003.00,3061,65.46,16.00,-3.30
14-January-2022,919.95,919.95,898.55,901.10,906.399349139934913993,2151,477,1949665.00,1158,53.84,21.40,-18.85
13-January-2022,903.00,930.00,864.00,899.50,912.474652816980919047,8857,1340,8081788.00,5407,61.05,66.00,-3.50
12-January-2022,853.35,945.00,852.15,908.55,913.075987298179703922,22359,3024,20415466.00,10679,47.76,92.85,55.20
11-January-2022,855.70,856.85,850.00,853.95,854.113627334127930075,5034,568,4299608.00,4069,80.83,6.85,-1.75
10-January-2022,855.15,861.75,845.00,852.40,854.377490387976232086,5722,665,4888748.00,3872,67.67,16.75,-2.75
7-January-2022,933.00,933.00,841.00,856.80,859.090627420604182804,6455,883,5545430.00,3620,56.08,92.00,-76.20
6-January-2022,859.00,859.00,841.60,849.50,849.640314724615961034,2669,303,2267690.00,1834,68.71,17.40,-9.50
5-January-2022,863.00,863.00,842.10,851.00,851.044409613375130616,3828,561,3257798.00,2747,71.76,20.90,-12.00
4-January-2022,884.95,884.95,855.00,857.00,858.216182048040455120,3955,356,3394245.00,3273,82.76,29.95,-27.95
3-January-2022,854.00,860.75,848.90,852.35,853.972653061224489795,2450,311,2092233.00,1505,61.43,11.85,-1.65
